Instance; Cost; Time; Total Nodes
P-n016-k08.xml; 365.0;0,03;16
P-n019-k02.xml; 226.0;0,04;19
P-n020-k02.xml; 246.0;0,05;20
P-n021-k02.xml; 219.0;0,05;21
P-n022-k08.xml; 628.0;0,05;22
P-n022-k02.xml; 229.0; 0.05;22
P-n023-k08.xml; 600.0; 0.05;23
A-n32-k05.xml; 908.0; 0.1;32
A-n33-k05.xml; 749.0; 0.1;33
A-n33-k06.xml; 890.0; 0.1;33
A-n34-k05.xml; 888.0; 0.11;34
A-n36-k05.xml; 908.0; 0.12;36
A-n37-k05.xml; 911.0; 0.13;37
A-n37-k06.xml; 1097.0; 0.14;37
A-n38-k05.xml; 832.0; 0.12;38
A-n39-k05.xml; 959.0; 0.14;39
A-n39-k06.xml; 1017.0; 0.14;39
P-n040-k05.xml; 530.0; 0.14;40
A-n44-k06.xml; 1030.0; 0.17;44
A-n45-k06.xml; 1100.0; 0.18;45
A-n45-k07.xml; 1296.0; 0.19;45
P-n045-k05.xml; 627.0; 0.18;45
A-n46-k07.xml; 1098.0; 0.18;46
A-n48-k07.xml; 1277.0; 0.2;48
P-n050-k08.xml; 698.0; 0.22;50
P-n050-k07.xml; 636.0; 0.22;50
P-n050-k10.xml; 785.0; 0.22;50
CMT01.xml; 685.0; 0.23;51
CMT06.xml; 685.0; 0.22;51
P-n051-k10.xml; 932.0; 0.22;51
A-n53-k07.xml; 1177.0; 0.23;53
A-n54-k07.xml; 1327.0; 0.24;54
A-n55-k09.xml; 1323.0; 0.25;55
P-n055-k15.xml; 1005.0; 0.26;55
P-n055-k10.xml; 761.0; 0.25;55
P-n055-k07.xml; 700.0; 0.26;55
P-n055-k08.xml; 649.0; 0.25;55
A-n60-k09.xml; 1522.0; 0.29;60
P-n060-k15.xml; 1119.0; 0.3;60
P-n060-k10.xml; 846.0; 0.28;60
A-n61-k09.xml; 1201.0; 0.31;61
A-n62-k08.xml; 1445.0; 0.32;62
A-n63-k09.xml; 1962.0; 0.34;63
A-n63-k10.xml; 1480.0; 0.33;63
A-n64-k09.xml; 1590.0; 0.33;64
A-n65-k09.xml; 1321.0; 0.34;65
P-n065-k10.xml; 992.0; 0.35;65
A-n69-k09.xml; 1488.0; 0.41;69
P-n070-k10.xml; 959.0; 0.41;70
CMT02.xml; 1014.0; 0.46;76
CMT07.xml; 1014.0; 0.46;76
P-n076-k04.xml; 716.0; 0.49;76
P-n076-k05.xml; 776.0; 0.49;76
A-n80-k10.xml; 1964.0; 0.51;80
CMT03.xml; 964.0; 0.77;101
CMT14.xml; 1077.0; 0.83;101
CMT12.xml; 1077.0; 0.84;101
CMT08.xml; 964.0; 0.74;101
P-n101-k04.xml; 880.0; 0.83;101
CMT11.xml; 1244.0; 1.12;121
CMT13.xml; 1244.0; 1.06;121
CMT04.xml; 1329.0; 1.9;151
CMT09.xml; 1329.0; 1.83;151
CMT05.xml; 1580.0; 2.97;200
CMT10.xml; 1580.0; 2.92;200
Golden_05.xml; 9065.0; 3.1;201
Golden_01.xml; 5811.0; 4.33;241
Golden_17.xml; 857.0; 4.36;241
Golden_13.xml; 975.0; 4.67;253
Golden_09.xml; 559.0; 5.01;256
Golden_06.xml; 9559.0; 6.06;281
Golden_18.xml; 1311.0; 6.75;301
Golden_14.xml; 1273.0; 8.31;321
Golden_02.xml; 9182.0; 8.22;321
Golden_10.xml; 738.0; 8.52;324
Golden_19.xml; 1634.0; 9.4;361
Golden_07.xml; 10906.0; 9.69;361
Golden_15.xml; 1537.0; 11.74;397
Golden_11.xml; 955.0; 13.01;400
Golden_03.xml; 11938.0; 12.44;401
Golden_20.xml; 2128.0; 13.23;421
Golden_08.xml; 12787.0; 14.45;441
Golden_04.xml; 15410.0; 17.36;481
Golden_16.xml; 1888.0; 17.44;481
Golden_12.xml; 1122.0; 19.6;484
