Instance, Cost, Time, Total Nodes
Golden_04.xml, 74042.0, 0.19, 481
Golden_13.xml, 3137.0, 0.05, 253
Golden_17.xml, 3050.0, 0.07, 241
Golden_19.xml, 6218.0, 0.1, 361
Golden_05.xml, 36673.0, 0.03, 201
Golden_09.xml, 2521.0, 0.07, 256
Golden_01.xml, 21912.0, 0.05, 241
Golden_18.xml, 4350.0, 0.07, 301
Golden_15.xml, 5432.0, 0.15, 397
Golden_20.xml, 8151.0, 0.14, 421
Golden_07.xml, 49258.0, 0.1, 361
Golden_14.xml, 4211.0, 0.11, 321
Golden_16.xml, 6905.0, 0.17, 481
Golden_10.xml, 3519.0, 0.11, 324
Golden_11.xml, 4729.0, 0.12, 400
Golden_03.xml, 51120.0, 0.12, 401
Golden_08.xml, 54002.0, 0.16, 441
Golden_06.xml, 43663.0, 0.07, 281
Golden_12.xml, 6295.0, 0.18, 484
Golden_02.xml, 34681.0, 0.1, 321
A-n63-k10.xml, 3343.0, 0.01, 63
A-n61-k09.xml, 3200.0, 0.01, 61
A-n37-k05.xml, 1762.0, 0.0, 37
A-n54-k07.xml, 3374.0, 0.0, 54
A-n69-k09.xml, 3756.0, 0.0, 69
A-n62-k08.xml, 4130.0, 0.0, 62
A-n53-k07.xml, 2817.0, 0.0, 53
A-n38-k05.xml, 1982.0, 0.0, 38
A-n65-k09.xml, 3420.0, 0.0, 65
A-n60-k09.xml, 3699.0, 0.01, 60
A-n64-k09.xml, 3872.0, 0.0, 64
A-n45-k07.xml, 2592.0, 0.0, 45
A-n63-k09.xml, 4233.0, 0.0, 63
A-n39-k06.xml, 2262.0, 0.0, 39
A-n33-k05.xml, 1970.0, 0.0, 33
A-n34-k05.xml, 2076.0, 0.0, 34
A-n33-k06.xml, 1608.0, 0.0, 33
A-n39-k05.xml, 1942.0, 0.0, 39
A-n46-k07.xml, 2592.0, 0.0, 46
A-n45-k06.xml, 2617.0, 0.0, 45
A-n37-k06.xml, 2217.0, 0.0, 37
A-n55-k09.xml, 3250.0, 0.0, 55
A-n44-k06.xml, 2345.0, 0.0, 44
A-n36-k05.xml, 1990.0, 0.0, 36
A-n48-k07.xml, 2639.0, 0.0, 48
A-n80-k10.xml, 4686.0, 0.01, 80
A-n32-k05.xml, 2018.0, 0.0, 32
P-n051-k10.xml, 1814.0, 0.01, 51
P-n101-k04.xml, 3595.0, 0.01, 101
P-n050-k10.xml, 1798.0, 0.0, 50
P-n023-k08.xml, 733.0, 0.0, 23
P-n019-k02.xml, 452.0, 0.0, 19
P-n045-k05.xml, 1583.0, 0.0, 45
P-n020-k02.xml, 488.0, 0.0, 20
P-n060-k10.xml, 2161.0, 0.0, 60
P-n022-k02.xml, 571.0, 0.0, 22
P-n050-k07.xml, 1612.0, 0.0, 50
P-n055-k08.xml, 1759.0, 0.0, 55
P-n070-k10.xml, 2623.0, 0.0, 70
P-n040-k05.xml, 1301.0, 0.0, 40
P-n016-k08.xml, 584.0, 0.0, 16
P-n076-k04.xml, 2745.0, 0.0, 76
P-n060-k15.xml, 2035.0, 0.0, 60
P-n076-k05.xml, 2790.0, 0.01, 76
P-n021-k02.xml, 560.0, 0.0, 21
P-n022-k08.xml, 763.0, 0.0, 22
P-n065-k10.xml, 2250.0, 0.0, 65
P-n055-k07.xml, 1798.0, 0.0, 55
P-n050-k08.xml, 1508.0, 0.0, 50
P-n055-k15.xml, 1987.0, 0.0, 55
P-n055-k10.xml, 1736.0, 0.0, 55
CMT06.xml, 1715.0, 0.0, 51
CMT05.xml, 6874.0, 0.03, 200
CMT04.xml, 5430.0, 0.02, 151
CMT07.xml, 2732.0, 0.01, 76
CMT03.xml, 3534.0, 0.01, 101
CMT01.xml, 1715.0, 0.0, 51
CMT14.xml, 3232.0, 0.01, 101
CMT12.xml, 3232.0, 0.02, 101
CMT02.xml, 2732.0, 0.01, 76
CMT08.xml, 3534.0, 0.01, 101
CMT11.xml, 5461.0, 0.01, 121
CMT10.xml, 6874.0, 0.03, 200
CMT13.xml, 5461.0, 0.01, 121
CMT09.xml, 5430.0, 0.02, 151
