Instance, Cost, Time, Total Nodes
Golden_04.xml, 27923.0, 0.42, 481
Golden_13.xml, 1411.0, 0.13, 253
Golden_17.xml, 1207.0, 0.09, 241
Golden_19.xml, 2299.0, 0.18, 361
Golden_05.xml, 13912.0, 0.08, 201
Golden_09.xml, 965.0, 0.09, 256
Golden_01.xml, 10802.0, 0.07, 241
Golden_18.xml, 1686.0, 0.14, 301
Golden_15.xml, 2165.0, 0.19, 397
Golden_20.xml, 3025.0, 0.24, 421
Golden_07.xml, 19552.0, 0.16, 361
Golden_14.xml, 1773.0, 0.13, 321
Golden_16.xml, 2633.0, 0.29, 481
Golden_10.xml, 1231.0, 0.13, 324
Golden_11.xml, 1538.0, 0.19, 400
Golden_03.xml, 20616.0, 0.22, 401
Golden_08.xml, 23087.0, 0.24, 441
Golden_06.xml, 17759.0, 0.11, 281
Golden_12.xml, 1920.0, 0.3, 484
Golden_02.xml, 15024.0, 0.14, 321
A-n63-k10.xml, 2060.0, 0.01, 63
A-n61-k09.xml, 1742.0, 0.01, 61
A-n37-k05.xml, 1170.0, 0.0, 37
A-n54-k07.xml, 1860.0, 0.0, 54
A-n69-k09.xml, 1755.0, 0.01, 69
A-n62-k08.xml, 2189.0, 0.01, 62
A-n53-k07.xml, 1616.0, 0.01, 53
A-n38-k05.xml, 1202.0, 0.0, 38
A-n65-k09.xml, 1882.0, 0.01, 65
A-n60-k09.xml, 2285.0, 0.01, 60
A-n64-k09.xml, 2292.0, 0.01, 64
A-n45-k07.xml, 1585.0, 0.0, 45
A-n63-k09.xml, 2487.0, 0.01, 63
A-n39-k06.xml, 1441.0, 0.0, 39
A-n33-k05.xml, 1205.0, 0.0, 33
A-n34-k05.xml, 1397.0, 0.0, 34
A-n33-k06.xml, 1107.0, 0.0, 33
A-n39-k05.xml, 1289.0, 0.0, 39
A-n46-k07.xml, 1453.0, 0.0, 46
A-n45-k06.xml, 1613.0, 0.0, 45
A-n37-k06.xml, 1509.0, 0.0, 37
A-n55-k09.xml, 1812.0, 0.01, 55
A-n44-k06.xml, 1503.0, 0.0, 44
A-n36-k05.xml, 1307.0, 0.0, 36
A-n48-k07.xml, 1717.0, 0.0, 48
A-n80-k10.xml, 2732.0, 0.01, 80
A-n32-k05.xml, 1282.0, 0.0, 32
P-n051-k10.xml, 1146.0, 0.0, 51
P-n101-k04.xml, 1353.0, 0.01, 101
P-n050-k10.xml, 1083.0, 0.0, 50
P-n023-k08.xml, 695.0, 0.0, 23
P-n019-k02.xml, 356.0, 0.0, 19
P-n045-k05.xml, 797.0, 0.0, 45
P-n020-k02.xml, 401.0, 0.0, 20
P-n060-k10.xml, 1132.0, 0.01, 60
P-n022-k02.xml, 371.0, 0.0, 22
P-n050-k07.xml, 956.0, 0.0, 50
P-n055-k08.xml, 1025.0, 0.0, 55
P-n070-k10.xml, 1310.0, 0.01, 70
P-n040-k05.xml, 695.0, 0.0, 40
P-n016-k08.xml, 537.0, 0.0, 16
P-n076-k04.xml, 1036.0, 0.01, 76
P-n060-k15.xml, 1451.0, 0.01, 60
P-n076-k05.xml, 1142.0, 0.01, 76
P-n021-k02.xml, 309.0, 0.0, 21
P-n022-k08.xml, 792.0, 0.0, 22
P-n065-k10.xml, 1279.0, 0.01, 65
P-n055-k07.xml, 926.0, 0.01, 55
P-n050-k08.xml, 1006.0, 0.0, 50
P-n055-k15.xml, 1308.0, 0.0, 55
P-n055-k10.xml, 1004.0, 0.0, 55
CMT06.xml, 836.0, 0.01, 51
CMT05.xml, 2392.0, 0.07, 200
CMT04.xml, 1909.0, 0.04, 151
CMT07.xml, 1192.0, 0.01, 76
CMT03.xml, 1412.0, 0.01, 101
CMT01.xml, 913.0, 0.0, 51
CMT14.xml, 1579.0, 0.01, 101
CMT12.xml, 1528.0, 0.01, 101
CMT02.xml, 1383.0, 0.01, 76
CMT08.xml, 1467.0, 0.02, 101
CMT11.xml, 1983.0, 0.02, 121
CMT10.xml, 2372.0, 0.05, 200
CMT13.xml, 1916.0, 0.02, 121
CMT09.xml, 1880.0, 0.03, 151
