Instance, Cost, Time, Total Nodes
Golden_04.xml, 15746.0, 0.26, 481
Golden_13.xml, 980.0, 0.1, 253
Golden_17.xml, 924.0, 0.08, 241
Golden_19.xml, 1756.0, 0.15, 361
Golden_05.xml, 9443.0, 0.07, 201
Golden_09.xml, 575.0, 0.08, 256
Golden_01.xml, 5824.0, 0.07, 241
Golden_18.xml, 1413.0, 0.13, 301
Golden_15.xml, 1545.0, 0.17, 397
Golden_20.xml, 2288.0, 0.21, 421
Golden_07.xml, 11380.0, 0.14, 361
Golden_14.xml, 1281.0, 0.12, 321
Golden_16.xml, 1897.0, 0.26, 481
Golden_10.xml, 764.0, 0.13, 324
Golden_11.xml, 974.0, 0.17, 400
Golden_03.xml, 12054.0, 0.19, 401
Golden_08.xml, 12876.0, 0.23, 441
Golden_06.xml, 9689.0, 0.13, 281
Golden_12.xml, 1165.0, 0.27, 484
Golden_02.xml, 9245.0, 0.22, 321
A-n63-k10.xml, 1505.0, 0.02, 63
A-n61-k09.xml, 1294.0, 0.01, 61
A-n37-k05.xml, 965.0, 0.01, 37
A-n54-k07.xml, 1690.0, 0.01, 54
A-n69-k09.xml, 1555.0, 0.02, 69
A-n62-k08.xml, 1486.0, 0.01, 62
A-n53-k07.xml, 1270.0, 0.01, 53
A-n38-k05.xml, 966.0, 0.0, 38
A-n65-k09.xml, 1422.0, 0.01, 65
A-n60-k09.xml, 1583.0, 0.01, 60
A-n64-k09.xml, 1715.0, 0.01, 64
A-n45-k07.xml, 1614.0, 0.0, 45
A-n63-k09.xml, 2056.0, 0.01, 63
A-n39-k06.xml, 1054.0, 0.0, 39
A-n33-k05.xml, 765.0, 0.0, 33
A-n34-k05.xml, 969.0, 0.0, 34
A-n33-k06.xml, 903.0, 0.0, 33
A-n39-k05.xml, 1076.0, 0.0, 39
A-n46-k07.xml, 1159.0, 0.0, 46
A-n45-k06.xml, 1158.0, 0.0, 45
A-n37-k06.xml, 1164.0, 0.0, 37
A-n55-k09.xml, 1392.0, 0.0, 55
A-n44-k06.xml, 1251.0, 0.0, 44
A-n36-k05.xml, 1059.0, 0.0, 36
A-n48-k07.xml, 1316.0, 0.01, 48
A-n80-k10.xml, 2054.0, 0.01, 80
A-n32-k05.xml, 926.0, 0.0, 32
P-n051-k10.xml, 962.0, 0.0, 51
P-n101-k04.xml, 962.0, 0.02, 101
P-n050-k10.xml, 807.0, 0.0, 50
P-n023-k08.xml, 671.0, 0.0, 23
P-n019-k02.xml, 272.0, 0.0, 19
P-n045-k05.xml, 674.0, 0.0, 45
P-n020-k02.xml, 293.0, 0.0, 20
P-n060-k10.xml, 878.0, 0.01, 60
P-n022-k02.xml, 289.0, 0.0, 22
P-n050-k07.xml, 663.0, 0.0, 50
P-n055-k08.xml, 668.0, 0.0, 55
P-n070-k10.xml, 991.0, 0.02, 70
P-n040-k05.xml, 576.0, 0.0, 40
P-n016-k08.xml, 497.0, 0.0, 16
P-n076-k04.xml, 773.0, 0.01, 76
P-n060-k15.xml, 1127.0, 0.01, 60
P-n076-k05.xml, 839.0, 0.02, 76
P-n021-k02.xml, 262.0, 0.0, 21
P-n022-k08.xml, 690.0, 0.0, 22
P-n065-k10.xml, 1017.0, 0.01, 65
P-n055-k07.xml, 744.0, 0.01, 55
P-n050-k08.xml, 711.0, 0.0, 50
P-n055-k15.xml, 1095.0, 0.01, 55
P-n055-k10.xml, 791.0, 0.01, 55
CMT06.xml, 746.0, 0.0, 51
CMT05.xml, 1690.0, 0.05, 200
CMT04.xml, 1446.0, 0.04, 151
CMT07.xml, 1050.0, 0.02, 76
CMT03.xml, 1047.0, 0.02, 101
CMT01.xml, 746.0, 0.0, 51
CMT14.xml, 1130.0, 0.02, 101
CMT12.xml, 1130.0, 0.01, 101
CMT02.xml, 1050.0, 0.01, 76
CMT08.xml, 1047.0, 0.01, 101
CMT11.xml, 1384.0, 0.02, 121
CMT10.xml, 1690.0, 0.05, 200
CMT13.xml, 1384.0, 0.04, 121
CMT09.xml, 1446.0, 0.03, 151
