Instance, Cost, Time, Total Nodes
A-n48-k07.xml, 1546.0, 0.06, 48
A-n33-k05.xml, 819.0, 0.03, 33
A-n62-k08.xml, 1755.0, 0.1, 62
A-n33-k06.xml, 925.0, 0.03, 33
A-n63-k09.xml, 1991.0, 0.11, 63
A-n55-k09.xml, 1323.0, 0.09, 55
A-n32-k05.xml, 1223.0, 0.03, 32
A-n80-k10.xml, 2447.0, 0.16, 80
A-n61-k09.xml, 1239.0, 0.11, 61
A-n39-k05.xml, 959.0, 0.05, 39
A-n39-k06.xml, 1017.0, 0.05, 39
A-n69-k09.xml, 1583.0, 0.14, 69
A-n53-k07.xml, 1461.0, 0.07, 53
A-n60-k09.xml, 1522.0, 0.1, 60
A-n38-k05.xml, 832.0, 0.04, 38
A-n65-k09.xml, 1365.0, 0.12, 65
A-n46-k07.xml, 1887.0, 0.06, 46
A-n34-k05.xml, 993.0, 0.04, 34
A-n64-k09.xml, 1590.0, 0.11, 64
A-n37-k05.xml, 924.0, 0.04, 37
A-n45-k06.xml, 1402.0, 0.06, 45
A-n63-k10.xml, 1480.0, 0.11, 63
A-n37-k06.xml, 1407.0, 0.04, 37
A-n45-k07.xml, 1321.0, 0.05, 45
A-n44-k06.xml, 1030.0, 0.06, 44
A-n54-k07.xml, 1472.0, 0.08, 54
A-n36-k05.xml, 908.0, 0.04, 36
Golden_19.xml, 3014.0, 2.99, 361
Golden_18.xml, 2250.0, 2.11, 301
Golden_20.xml, 4258.0, 4.33, 421
Golden_08.xml, 12787.0, 4.76, 441
Golden_09.xml, 559.0, 1.76, 256
Golden_13.xml, 975.0, 1.49, 253
Golden_07.xml, 10906.0, 3.17, 361
Golden_06.xml, 9559.0, 1.98, 281
Golden_12.xml, 1122.0, 7.74, 484
Golden_04.xml, 16089.0, 5.62, 481
Golden_10.xml, 738.0, 3.06, 324
Golden_11.xml, 955.0, 4.82, 400
Golden_05.xml, 10278.0, 0.99, 201
Golden_01.xml, 5811.0, 1.36, 241
Golden_15.xml, 1537.0, 3.65, 397
Golden_14.xml, 1273.0, 2.43, 321
Golden_16.xml, 1888.0, 5.38, 481
Golden_02.xml, 13110.0, 2.09, 321
Golden_03.xml, 11938.0, 3.9, 401
Golden_17.xml, 934.0, 1.42, 241
CMT03.xml, 1270.0, 0.26, 101
CMT02.xml, 1014.0, 0.15, 76
CMT14.xml, 1077.0, 0.29, 101
CMT01.xml, 685.0, 0.07, 51
CMT05.xml, 2845.0, 0.89, 200
CMT11.xml, 1578.0, 0.37, 121
CMT10.xml, 2845.0, 0.88, 200
CMT04.xml, 1329.0, 0.64, 151
CMT12.xml, 1077.0, 0.29, 101
CMT06.xml, 685.0, 0.07, 51
CMT07.xml, 1014.0, 0.15, 76
CMT13.xml, 1578.0, 0.37, 121
CMT09.xml, 1329.0, 0.63, 151
CMT08.xml, 1270.0, 0.24, 101
P-n055-k15.xml, 1126.0, 0.08, 55
P-n023-k08.xml, 617.0, 0.02, 23
P-n055-k10.xml, 761.0, 0.08, 55
P-n045-k05.xml, 627.0, 0.06, 45
P-n022-k08.xml, 736.0, 0.02, 22
P-n050-k08.xml, 832.0, 0.07, 50
P-n055-k07.xml, 721.0, 0.08, 55
P-n019-k02.xml, 226.0, 0.01, 19
P-n016-k08.xml, 365.0, 0.01, 16
P-n060-k15.xml, 1563.0, 0.1, 60
P-n070-k10.xml, 972.0, 0.13, 70
P-n060-k10.xml, 846.0, 0.09, 60
P-n101-k04.xml, 1141.0, 0.29, 101
P-n065-k10.xml, 1771.0, 0.1, 65
P-n020-k02.xml, 246.0, 0.01, 20
P-n021-k02.xml, 219.0, 0.02, 21
P-n076-k04.xml, 716.0, 0.16, 76
P-n050-k07.xml, 675.0, 0.07, 50
P-n076-k05.xml, 776.0, 0.15, 76
P-n040-k05.xml, 548.0, 0.05, 40
P-n055-k08.xml, 887.0, 0.08, 55
P-n050-k10.xml, 1201.0, 0.07, 50
P-n051-k10.xml, 932.0, 0.07, 51
P-n022-k02.xml, 272.0, 0.02, 22
