Instance, Cost, Time, Total Nodes
Golden_04.xml, 27015.0, 0.24, 481
Golden_13.xml, 1472.0, 0.09, 253
Golden_17.xml, 1267.0, 0.07, 241
Golden_19.xml, 2284.0, 0.13, 361
Golden_05.xml, 13245.0, 0.07, 201
Golden_09.xml, 968.0, 0.07, 256
Golden_01.xml, 10451.0, 0.06, 241
Golden_18.xml, 1717.0, 0.11, 301
Golden_15.xml, 2236.0, 0.15, 397
Golden_20.xml, 3014.0, 0.2, 421
Golden_07.xml, 20216.0, 0.13, 361
Golden_14.xml, 1790.0, 0.1, 321
Golden_16.xml, 2615.0, 0.24, 481
Golden_10.xml, 1267.0, 0.11, 324
Golden_11.xml, 1543.0, 0.16, 400
Golden_03.xml, 20692.0, 0.18, 401
Golden_08.xml, 23428.0, 0.2, 441
Golden_06.xml, 16173.0, 0.09, 281
Golden_12.xml, 1794.0, 0.25, 484
Golden_02.xml, 15450.0, 0.11, 321
A-n63-k10.xml, 1951.0, 0.01, 63
A-n61-k09.xml, 1665.0, 0.01, 61
A-n37-k05.xml, 1109.0, 0.0, 37
A-n54-k07.xml, 1988.0, 0.0, 54
A-n69-k09.xml, 2033.0, 0.01, 69
A-n62-k08.xml, 1854.0, 0.0, 62
A-n53-k07.xml, 1790.0, 0.0, 53
A-n38-k05.xml, 1062.0, 0.0, 38
A-n65-k09.xml, 1883.0, 0.01, 65
A-n60-k09.xml, 2227.0, 0.0, 60
A-n64-k09.xml, 2070.0, 0.01, 64
A-n45-k07.xml, 1871.0, 0.0, 45
A-n63-k09.xml, 2319.0, 0.0, 63
A-n39-k06.xml, 1338.0, 0.0, 39
A-n33-k05.xml, 1112.0, 0.0, 33
A-n34-k05.xml, 1270.0, 0.0, 34
A-n33-k06.xml, 1157.0, 0.0, 33
A-n39-k05.xml, 1525.0, 0.0, 39
A-n46-k07.xml, 1567.0, 0.0, 46
A-n45-k06.xml, 1470.0, 0.0, 45
A-n37-k06.xml, 1359.0, 0.0, 37
A-n55-k09.xml, 1655.0, 0.0, 55
A-n44-k06.xml, 1432.0, 0.0, 44
A-n36-k05.xml, 1392.0, 0.0, 36
A-n48-k07.xml, 1668.0, 0.0, 48
A-n80-k10.xml, 2905.0, 0.01, 80
A-n32-k05.xml, 1266.0, 0.0, 32
P-n051-k10.xml, 1092.0, 0.0, 51
P-n101-k04.xml, 1215.0, 0.01, 101
P-n050-k10.xml, 1031.0, 0.0, 50
P-n023-k08.xml, 629.0, 0.0, 23
P-n019-k02.xml, 375.0, 0.0, 19
P-n045-k05.xml, 808.0, 0.0, 45
P-n020-k02.xml, 406.0, 0.0, 20
P-n060-k10.xml, 1118.0, 0.0, 60
P-n022-k02.xml, 373.0, 0.0, 22
P-n050-k07.xml, 965.0, 0.0, 50
P-n055-k08.xml, 975.0, 0.0, 55
P-n070-k10.xml, 1156.0, 0.01, 70
P-n040-k05.xml, 812.0, 0.0, 40
P-n016-k08.xml, 528.0, 0.0, 16
P-n076-k04.xml, 1168.0, 0.01, 76
P-n060-k15.xml, 1336.0, 0.0, 60
P-n076-k05.xml, 1072.0, 0.01, 76
P-n021-k02.xml, 331.0, 0.0, 21
P-n022-k08.xml, 840.0, 0.0, 22
P-n065-k10.xml, 1237.0, 0.01, 65
P-n055-k07.xml, 983.0, 0.0, 55
P-n050-k08.xml, 953.0, 0.0, 50
P-n055-k15.xml, 1321.0, 0.0, 55
P-n055-k10.xml, 996.0, 0.0, 55
CMT06.xml, 928.0, 0.0, 51
CMT05.xml, 2366.0, 0.05, 200
CMT04.xml, 1927.0, 0.02, 151
CMT07.xml, 1426.0, 0.01, 76
CMT03.xml, 1380.0, 0.01, 101
CMT01.xml, 980.0, 0.0, 51
CMT14.xml, 1517.0, 0.01, 101
CMT12.xml, 1656.0, 0.01, 101
CMT02.xml, 1373.0, 0.01, 76
CMT08.xml, 1514.0, 0.01, 101
CMT11.xml, 1750.0, 0.02, 121
CMT10.xml, 2303.0, 0.04, 200
CMT13.xml, 1738.0, 0.02, 121
CMT09.xml, 1930.0, 0.03, 151
