Instance, Cost, Time, Total Nodes
Golden_04.xml, 15513.0, 0.27, 481
Golden_13.xml, 975.0, 0.09, 253
Golden_17.xml, 860.0, 0.07, 241
Golden_19.xml, 1656.0, 0.14, 361
Golden_05.xml, 9127.0, 0.09, 201
Golden_09.xml, 567.0, 0.08, 256
Golden_01.xml, 5811.0, 0.07, 241
Golden_18.xml, 1321.0, 0.12, 301
Golden_15.xml, 1537.0, 0.16, 397
Golden_20.xml, 2158.0, 0.21, 421
Golden_07.xml, 11273.0, 0.15, 361
Golden_14.xml, 1273.0, 0.11, 321
Golden_16.xml, 1888.0, 0.24, 481
Golden_10.xml, 754.0, 0.12, 324
Golden_11.xml, 968.0, 0.19, 400
Golden_03.xml, 11976.0, 0.18, 401
Golden_08.xml, 12799.0, 0.23, 441
Golden_06.xml, 9566.0, 0.1, 281
Golden_12.xml, 1158.0, 0.24, 484
Golden_02.xml, 9182.0, 0.14, 321
A-n63-k10.xml, 1482.0, 0.0, 63
A-n61-k09.xml, 1202.0, 0.01, 61
A-n37-k05.xml, 931.0, 0.0, 37
A-n54-k07.xml, 1554.0, 0.0, 54
A-n69-k09.xml, 1501.0, 0.01, 69
A-n62-k08.xml, 1456.0, 0.01, 62
A-n53-k07.xml, 1227.0, 0.0, 53
A-n38-k05.xml, 954.0, 0.0, 38
A-n65-k09.xml, 1331.0, 0.01, 65
A-n60-k09.xml, 1528.0, 0.01, 60
A-n64-k09.xml, 1630.0, 0.01, 64
A-n45-k07.xml, 1485.0, 0.0, 45
A-n63-k09.xml, 1985.0, 0.01, 63
A-n39-k06.xml, 1018.0, 0.0, 39
A-n33-k05.xml, 749.0, 0.0, 33
A-n34-k05.xml, 943.0, 0.0, 34
A-n33-k06.xml, 890.0, 0.0, 33
A-n39-k05.xml, 996.0, 0.0, 39
A-n46-k07.xml, 1107.0, 0.0, 46
A-n45-k06.xml, 1104.0, 0.0, 45
A-n37-k06.xml, 1111.0, 0.0, 37
A-n55-k09.xml, 1324.0, 0.0, 55
A-n44-k06.xml, 1201.0, 0.0, 44
A-n36-k05.xml, 919.0, 0.0, 36
A-n48-k07.xml, 1277.0, 0.0, 48
A-n80-k10.xml, 1994.0, 0.01, 80
A-n32-k05.xml, 911.0, 0.0, 32
P-n051-k10.xml, 942.0, 0.0, 51
P-n101-k04.xml, 914.0, 0.02, 101
P-n050-k10.xml, 791.0, 0.0, 50
P-n023-k08.xml, 669.0, 0.0, 23
P-n019-k02.xml, 247.0, 0.0, 19
P-n045-k05.xml, 633.0, 0.0, 45
P-n020-k02.xml, 285.0, 0.0, 20
P-n060-k10.xml, 846.0, 0.0, 60
P-n022-k02.xml, 238.0, 0.0, 22
P-n050-k07.xml, 650.0, 0.0, 50
P-n055-k08.xml, 649.0, 0.01, 55
P-n070-k10.xml, 962.0, 0.01, 70
P-n040-k05.xml, 542.0, 0.0, 40
P-n016-k08.xml, 497.0, 0.0, 16
P-n076-k04.xml, 731.0, 0.01, 76
P-n060-k15.xml, 1119.0, 0.01, 60
P-n076-k05.xml, 785.0, 0.01, 76
P-n021-k02.xml, 219.0, 0.0, 21
P-n022-k08.xml, 690.0, 0.0, 22
P-n065-k10.xml, 992.0, 0.01, 65
P-n055-k07.xml, 700.0, 0.01, 55
P-n050-k08.xml, 705.0, 0.01, 50
P-n055-k15.xml, 1079.0, 0.01, 55
P-n055-k10.xml, 761.0, 0.0, 55
CMT06.xml, 722.0, 0.0, 51
CMT05.xml, 1598.0, 0.05, 200
CMT04.xml, 1353.0, 0.03, 151
CMT07.xml, 1014.0, 0.01, 76
CMT03.xml, 983.0, 0.01, 101
CMT01.xml, 722.0, 0.01, 51
CMT14.xml, 1087.0, 0.01, 101
CMT12.xml, 1087.0, 0.03, 101
CMT02.xml, 1014.0, 0.01, 76
CMT08.xml, 983.0, 0.02, 101
CMT11.xml, 1342.0, 0.02, 121
CMT10.xml, 1598.0, 0.05, 200
CMT13.xml, 1342.0, 0.02, 121
CMT09.xml, 1353.0, 0.03, 151
